N;threads;run;time_seconds
200;1;1;0.005521
200;1;2;0.005472
200;1;3;0.005634
200;2;1;0.003197
200;2;2;0.003181
200;2;3;0.003123
200;4;1;0.001814
200;4;2;0.001868
200;4;3;0.001943
200;8;1;0.001450
200;8;2;0.001656
200;8;3;0.001557
400;1;1;0.050802
400;1;2;0.048768
400;1;3;0.049890
400;2;1;0.025216
400;2;2;0.025401
400;2;3;0.027148
400;4;1;0.012868
400;4;2;0.012594
400;4;3;0.013264
400;8;1;0.009662
400;8;2;0.007758
400;8;3;0.007360
800;1;1;0.416078
800;1;2;0.418472
800;1;3;0.416061
800;2;1;0.221700
800;2;2;0.222803
800;2;3;0.220886
800;4;1;0.117966
800;4;2;0.117134
800;4;3;0.124360
800;8;1;0.063293
800;8;2;0.091081
800;8;3;0.084732
1200;1;1;2.500890
1200;1;2;2.774780
1200;1;3;2.132060
1200;2;1;1.058640
1200;2;2;1.079710
1200;2;3;1.110600
1200;4;1;0.602233
1200;4;2;0.633229
1200;4;3;0.549534
1200;8;1;0.474212
1200;8;2;0.305975
1200;8;3;0.454784
1600;1;1;8.569270
1600;1;2;8.971350
1600;1;3;8.311680
1600;2;1;6.214900
1600;2;2;6.747270
1600;2;3;6.883840
1600;4;1;3.136800
1600;4;2;3.156610
1600;4;3;3.159690
1600;8;1;1.908760
1600;8;2;1.862630
1600;8;3;1.782630
2000;1;1;29.121500
2000;1;2;25.864500
2000;1;3;45.685500
2000;2;1;26.520300
2000;2;2;27.221500
2000;2;3;17.635900
2000;4;1;10.180300
2000;4;2;9.574230
2000;4;3;9.269140
2000;8;1;5.586100
2000;8;2;5.992650
2000;8;3;5.494390
