N,processes,run,time_seconds
200,1,1,0.0076169
200,1,2,0.0075943
200,1,3,0.0076082
200,2,1,0.0037977
200,2,2,0.003904
200,2,3,0.0038267
200,4,1,0.0019157
200,4,2,0.0019284
200,4,3,0.0019745
200,8,1,0.0013569
200,8,2,0.0010165
200,8,3,0.001679
400,1,1,0.0605467
400,1,2,0.0600067
400,1,3,0.0600695
400,2,1,0.0315984
400,2,2,0.0352851
400,2,3,0.0323691
400,4,1,0.0161066
400,4,2,0.0155557
400,4,3,0.0154443
400,8,1,0.0134102
400,8,2,0.0135839
400,8,3,0.0078248
800,1,1,0.503261
800,1,2,0.495107
800,1,3,0.506076
800,2,1,0.318503
800,2,2,0.269804
800,2,3,0.271795
800,4,1,0.148983
800,4,2,0.149692
800,4,3,0.150498
800,8,1,0.115103
800,8,2,0.128777
800,8,3,0.111316
1200,1,1,1.8227
1200,1,2,1.74262
1200,1,3,1.73775
1200,2,1,0.967652
1200,2,2,0.965097
1200,2,3,0.967068
1200,4,1,0.53133
1200,4,2,0.529144
1200,4,3,0.5323
1200,8,1,0.378067
1200,8,2,0.375301
1200,8,3,0.375578
1600,1,1,4.29012
1600,1,2,4.30035
1600,1,3,4.31492
1600,2,1,2.32149
1600,2,2,2.34407
1600,2,3,2.33584
1600,4,1,1.2768
1600,4,2,1.28867
1600,4,3,1.29983
1600,8,1,1.16973
1600,8,2,0.919534
1600,8,3,0.940117
2000,1,1,8.49424
2000,1,2,8.52472
2000,1,3,8.61397
2000,2,1,4.58363
2000,2,2,4.60331
2000,2,3,4.59369
2000,4,1,2.54077
2000,4,2,2.77132
2000,4,3,2.55261
2000,8,1,1.74351
2000,8,2,1.75283
2000,8,3,1.77467
